Cluster,Cluster.1,RA_ICRS,DE_ICRS,dist,e_dist,age,e_age,FeH,e_FeH,Av,e_Av,Nc,alpha_high_int,alpha_high_er_int,alpha_low_int,alpha_low_er_int,Mc_int,Mc_er_int,offset_int,offset_er_int,mass_total,e_mass_total,bin_frac,average_ratio,str_average_ratio,segr_ratio,segr_ratio_std,mass_seg,mass_seg_pval,bin_frac_05,n_members,rh,e_rh,t_relax,e_t_relax,tau,e_tau,bin_frac_ref,bin_frac_ref_05,n_systems,bin_frac_corr,e_bin_frac,bin_frac_05_corr,e_bin_frac_05
ASCC_10,ASCC_10,51.9055,35.011,0.642,0.003,8.292,0.088,0.004,0.028,0.793,0.068,109,-1.35456,0.48142,1.25945,0.31552,-0.10962,0.06576,1.40198,0.09958,229,45,0.4587155963302752,0.51823,0.26538,1.53993,6.46874,0.34689,0.00332,0.2568807339449541,159.0,4.620835225892515,0.7990237667141062,51.50439541445623,14.285375942415278,3.80325729045677,1.3063938388435916,0.4770538696468246,0.26380814793177243,109,0.46788990825688076,0.047727782958986685,0.26605504587155965,0.04184868137442915
ASCC_105,ASCC_105,295.5766,27.4244,0.552,0.002,8.117,0.053,-0.252,0.066,0.765,0.006,183,-1.60944,0.48663,0.85774,0.7519,-0.2,0.10014,1.46344,0.0994,304,60,0.7868852459016393,0.70889,0.21848,1.12542,5.59048,0.21638,0.05084,0.6174863387978142,327.0,4.367208272967956,0.5944511643791679,71.97247586765181,16.32144557451265,1.8190035943835363,0.4684392431031797,0.699051871470025,0.5687334682592629,183,0.7458087431693989,0.03894232901874769,0.5984699453551913,0.03802338136473929
ASCC_107,ASCC_107,297.1882,21.9844,0.847,0.008,7.652,0.359,0.253,0.187,1.463,0.204,108,-1.70302,0.30111,2.96674,0.39483,-0.16713,0.02491,1.34837,0.05922,409,81,0.7962962962962963,0.78835,0.22252,1.30286,3.00649,0.37446,0.00101,0.6574074074074074,194.0,2.217539343375912,0.2813528951177649,14.917878122106565,3.200393282879588,3.0081046799017863,2.5689615558579293,0.5231719603051358,0.3530268058378314,108,0.6647962962962963,0.08842651469578981,0.5145925925925926,0.09733780522472535
ASCC_108,ASCC_108,298.4716,39.2269,1.157,0.003,8.241,0.071,-0.097,0.033,0.655,0.05,578,-2.09687,0.31721,1.99048,0.21577,-0.10409,0.02325,1.85483,0.05126,935,187,0.5570934256055363,0.59206,0.24218,1.04515,14.36767,0.11909,0.03634,0.3650519031141868,900.0,15.671585198727856,0.9884356130826688,635.7463242720779,87.51764908235165,0.2739782845596412,0.0585554442886583,0.43850849000041475,0.24980707199350222,578,0.49728027681660897,0.039831511267641825,0.30792906574394463,0.03881948764507549
ASCC_11,ASCC_11,53.0538,44.8967,0.826,0.005,8.443,0.194,-0.121,0.044,0.975,0.101,343,-2.03576,0.31698,1.91101,0.19597,-0.11307,0.02372,1.70787,0.05321,529,105,0.4927113702623906,0.60459,0.23087,1.26139,7.17919,0.13528,0.11318,0.3527696793002915,512.0,4.0710129080289965,0.3555134620931162,70.40830728639267,11.571033176917323,3.938910352397889,1.87481577228842,0.4886348439258052,0.34339806714303756,343,0.49271137026239054,0.026994593772356388,0.3498104956268222,0.025908124151120034
ASCC_113,ASCC_113,318.0091,38.6407,0.558,0.0,8.493,0.088,0.001,0.025,0.245,0.049,264,-1.07001,0.15283,1.64677,0.16999,-0.17986,0.02541,1.61565,0.02915,413,82,0.4053030303030303,0.54707,0.25176,1.22491,3.84242,0.17394,0.03741,0.2196969696969697,371.0,4.821042530072044,0.359588779968351,79.20520469653174,11.84710045301133,3.9286765926914855,0.9894534928574586,0.5434876578365517,0.36602770790711564,264,0.4750340909090909,0.049616628107367694,0.2940909090909091,0.04897772325098864
ASCC_114,ASCC_114,324.9969,53.9725,0.9,0.006,8.103,0.089,0.059,0.055,1.208,0.091,202,-1.88272,0.44541,1.77319,0.46454,-0.0781,0.04322,1.70778,0.09636,432,86,0.6831683168316832,0.72418,0.22917,1.63188,3.65671,0.36691,0.0,0.5495049504950495,340.0,2.9057061463491336,0.2946128042499629,33.79901322321557,6.14342792751052,3.7505588032585857,1.02736778011114,0.5240727692835089,0.2972744211172126,202,0.6068415841584158,0.05633786219867283,0.42524752475247535,0.07903182009647898
ASCC_115,ASCC_115,329.2888,51.5256,0.747,0.003,8.308,0.187,0.049,0.063,0.907,0.09,66,-1.99703,0.3183,1.74194,0.21759,-0.03223,0.02622,1.41078,0.06483,140,28,0.5757575757575758,0.54377,0.22284,1.34019,2.9261,0.30138,0.07808,0.3787878787878788,104.0,3.24438038123677,0.4055510708306154,28.23482459597699,5.999940807545924,7.198050776011547,3.456255863315512,0.5669401722010019,0.3489829847867765,66,0.5757575757575759,0.06083519586795918,0.37878787878787884,0.05970985676602366
ASCC_12,ASCC_12,72.4597,41.8028,1.014,0.012,8.496,0.318,-0.112,0.033,1.009,0.084,176,-2.16489,0.36861,2.08275,0.32005,-0.11315,0.02766,1.45514,0.05542,359,71,0.4431818181818182,0.65416,0.26551,0.9636,6.9973,0.30248,0.00148,0.3238636363636363,254.0,4.360444117660099,0.6471593764220193,54.131269850271565,13.18624845106625,5.788310034075193,4.4667190445674185,0.5558194109131347,0.35365370015060466,176,0.5008352272727272,0.04883892384530582,0.3407840909090909,0.0361344378092788
ASCC_127,ASCC_127,347.2824,64.9754,0.332,0.013,7.549,0.107,-0.005,0.044,0.575,0.055,185,-1.55944,0.42522,0.70514,0.31871,-0.2,0.08419,1.35808,0.10481,207,41,0.4432432432432432,0.65524,0.23954,1.04764,3.44143,0.17847,0.33502,0.2864864864864865,267.0,3.101229064452212,0.3930174063643492,44.46584981385906,9.531009551159132,0.7961105940071375,0.2599822087210615,0.5117309576630859,0.37450806060649283,185,0.47829729729729736,0.041076752636142876,0.3333405405405405,0.0420177680654081
ASCC_128,ASCC_128,349.7955,54.3994,0.644,0.001,8.388,0.1,-0.052,0.055,0.681,0.069,124,-1.06111,0.31077,1.41577,0.35114,-0.2,0.05747,1.37322,0.06159,241,48,0.5241935483870968,0.54723,0.2516,1.59254,5.91828,0.54013,0.0,0.2983870967741935,189.0,5.915733329659688,0.7852995263997925,82.99270771239087,18.477116134880664,2.9441509019823986,0.9429812933732552,0.5154291451919952,0.30725875404321423,124,0.5241935483870969,0.044848730716785995,0.30645161290322587,0.04108922600846468
ASCC_13,ASCC_13,78.2872,44.4252,1.08,0.004,8.134,0.053,-0.12,0.05,0.882,0.049,293,-1.6535,0.21898,2.01464,0.25174,-0.1612,0.02454,1.58473,0.04307,576,115,0.6245733788395904,0.66179,0.25884,1.41437,10.89127,0.27317,7e-05,0.4436860068259385,476.0,11.842785247289362,0.8280499433968934,315.5695545705566,45.69245125955673,0.4314245980790751,0.0816957104420676,0.496570085537451,0.3399513030901214,293,0.5652218430034129,0.04603929486834792,0.3954300341296928,0.04141163913668475
ASCC_16,ASCC_16,81.2316,1.6235,0.342,0.001,7.301,0.072,0.18,0.019,0.038,0.053,481,-1.92132,0.29318,0.73142,0.26905,-0.2,0.04743,1.58897,0.0682,441,88,0.4054054054054054,0.68666,0.2121,1.07665,2.38865,0.12508,0.43509,0.3222453222453222,676.0,2.804166321846322,0.249683049189488,55.316958947943625,9.22201645800838,0.3615278040708505,0.0849998112494722,0.4329328424255284,0.3045867988353148,481,0.4198877338877339,0.023652318825657825,0.314962577962578,0.021832290295884606
ASCC_21,ASCC_21,82.1709,3.4393,0.339,0.0,7.011,0.035,-0.118,0.04,0.283,0.065,324,-1.01211,0.33296,0.01289,0.28135,-0.2,0.22471,1.46231,0.15549,367,73,0.2716049382716049,0.67624,0.2231,1.11475,2.08445,0.17204,0.17871,0.2037037037037037,412.0,3.1632762100415426,0.3745645360428926,48.57385287481284,9.887918774959058,0.2111530927749901,0.0462292136037241,0.5616875967710098,0.39916235795270905,324,0.42098456790123456,0.08559341285335278,0.30270370370370375,0.06082124949319491
ASCC_23,ASCC_23,94.9038,46.6552,0.604,0.001,8.489,0.084,-0.069,0.046,0.376,0.044,165,-2.48028,0.52298,1.47645,0.29169,-0.09926,0.03635,1.52865,0.08211,248,49,0.5212121212121212,0.60778,0.20757,1.1971,5.59729,0.22107,0.07295,0.4,251.0,2.902844604651536,0.3331811010472539,35.048324875197444,6.956957375989887,8.796962369038159,2.4380589195794373,0.6022360766793731,0.42711243248162234,165,0.5642545454545455,0.04516487643499878,0.41496969696969693,0.03872490152554881
ASCC_29,ASCC_29,103.556,-1.6495,0.988,0.011,8.129,0.085,-0.077,0.025,0.245,0.023,83,-1.41007,0.31793,1.81771,0.38568,-0.15249,0.04727,1.29508,0.06739,183,36,0.4096385542168674,0.42954,0.28635,1.19496,2.22426,0.23036,0.19328,0.1927710843373494,117.0,2.3433113185584444,0.3204260061093024,16.531600693755156,3.7605432924000106,8.141137564279232,2.4430408862761785,0.5163732889463682,0.29508053164564846,83,0.46428915662650605,0.06058814792621192,0.24704819277108434,0.05152294888643496
