Cluster,RA_ICRS,DE_ICRS,dist,e_dist,age,e_age,FeH,e_FeH,Av,e_Av,Nc,alpha_high_int,alpha_high_er_int,alpha_low_int,alpha_low_er_int,Mc_int,Mc_er_int,offset_int,offset_er_int,mass_total,e_mass_total,bin_frac,average_ratio,str_average_ratio,segr_ratio,segr_ratio_std,mass_seg,mass_seg_pval,n_members,rh,e_rh,t_relax,e_t_relax,bin_frac_05,bin_frac_corr,bin_frac_05_corr,er_bin_frac,er_bin_frac_05,tau,e_tau
ASCC_10,51.9055,35.011,0.642,0.003,8.292,0.088,0.004,0.028,0.793,0.068,109,-1.35456,0.48142,1.25945,0.31552,-0.10962,0.06576,1.40198,0.09958,229,45,0.34444444444444444,0.51823,0.26538,1.53993,6.46874,0.34689,0.00332,159.0,4.620835225892515,0.8141552317651498,51.50439541445623,14.522233073749238,0.3111111111111111,0.29749598423554136,0.2630383061668572,0.15398552650529806,0.14028116074639765,3.80325729045677,1.320557141511802
ASCC_105,295.5766,27.4244,0.552,0.002,8.117,0.053,-0.252,0.066,0.765,0.006,183,-1.60944,0.48663,0.85774,0.7519,-0.2,0.10014,1.46344,0.0994,304,60,0.7483870967741936,0.70889,0.21848,1.12542,5.59048,0.21638,0.05084,327.0,4.367208272967956,0.5953174923947611,71.97247586765181,16.340730029476113,0.7161290322580646,0.7014386365652905,0.6680562273138106,0.2604613718655754,0.24963378408559417,1.8190035943835365,0.4688684873750709
ASCC_107,297.1882,21.9844,0.847,0.008,7.652,0.359,0.253,0.187,1.463,0.204,108,-1.70302,0.30111,2.96674,0.39483,-0.16713,0.02491,1.34837,0.05922,409,81,0.7684210526315789,0.78835,0.22252,1.30286,3.00649,0.37446,0.00101,194.0,2.2175393433759116,0.2752125294894735,14.917878122106565,3.1455570328973623,0.7473684210526316,0.6819446237518747,0.6531630373075362,0.2560621942624773,0.24947913676148065,3.0081046799017863,2.566206175470609
ASCC_108,298.4716,39.2269,1.157,0.003,8.241,0.071,-0.097,0.033,0.655,0.05,578,-2.09687,0.31721,1.99048,0.21577,-0.10409,0.02325,1.85483,0.05126,935,187,0.46555323590814196,0.59206,0.24218,1.04515,14.36767,0.11909,0.03634,900.0,15.671585198727856,1.021762586541139,635.7463242720779,88.92356418919401,0.4384133611691023,0.4186047756992389,0.39034055622484837,0.097151961445257,0.08683487125083038,0.2739782845596412,0.05894752444461715
ASCC_11,53.0538,44.8967,0.826,0.005,8.443,0.194,-0.121,0.044,0.975,0.101,343,-2.03576,0.31698,1.91101,0.19597,-0.11307,0.02372,1.70787,0.05321,529,105,0.41414141414141414,0.60459,0.23087,1.26139,7.17919,0.13528,0.11318,512.0,4.0710129080289965,0.3613436269678956,70.40830728639267,11.69194630298341,0.40404040404040403,0.36719295393251106,0.3559675990961501,0.11404621264730971,0.11141360474340191,3.9389103523978886,1.8771620688743431
ASCC_113,318.0091,38.6407,0.558,0.0,8.493,0.088,0.001,0.025,0.245,0.049,264,-1.07001,0.15283,1.64677,0.16999,-0.17986,0.02541,1.61565,0.02915,413,82,0.3053097345132743,0.54707,0.25176,1.22491,3.84242,0.17394,0.03741,371.0,4.821042530072044,0.36296802956100177,79.20520469653174,11.909519287658021,0.24336283185840707,0.2873219635852448,0.2243846223229236,0.13265311824124193,0.10676614489758238,3.9286765926914855,0.9912953502803953
ASCC_114,324.9969,53.9725,0.9,0.006,8.103,0.089,0.059,0.055,1.208,0.091,202,-1.88272,0.44541,1.77319,0.46454,-0.0781,0.04322,1.70778,0.09636,432,86,0.6424581005586593,0.72418,0.22917,1.63188,3.65671,0.36691,0.0,340.0,2.9057061463490013,0.2847086695405964,33.79901322321326,5.999582194170844,0.6201117318435754,0.555981671678955,0.52590634809848,0.15438397823220143,0.1374333484853943,3.750558803258842,1.01684620152968
ASCC_115,329.2888,51.5256,0.747,0.003,8.308,0.187,0.049,0.063,0.907,0.09,66,-1.99703,0.3183,1.74194,0.21759,-0.03223,0.02622,1.41078,0.06483,140,28,0.4716981132075472,0.54377,0.22284,1.34019,2.9261,0.30138,0.07808,104.0,3.2443803812367706,0.41846732655104424,28.23482459597699,6.149225826375549,0.4339622641509434,0.4247496529986441,0.3858894592066895,0.2455858414950476,0.227383942773676,7.198050776011547,3.473266440216805
ASCC_12,72.4597,41.8028,1.014,0.012,8.496,0.318,-0.112,0.033,1.009,0.084,176,-2.16489,0.36861,2.08275,0.32005,-0.11315,0.02766,1.45514,0.05542,359,71,0.379746835443038,0.65416,0.26551,0.9636,6.9973,0.30248,0.00148,254.0,4.360444117660157,0.6151115070532661,54.131269850272666,12.643180185598096,0.36075949367088606,0.29327040656333375,0.2665541099257907,0.10835006606343939,0.10348563607152292,5.788310034075076,4.448728960519862
ASCC_127,347.2824,64.9754,0.332,0.013,7.549,0.107,-0.005,0.044,0.575,0.055,185,-1.55944,0.42522,0.70514,0.31871,-0.2,0.08419,1.35808,0.10481,207,41,0.36419753086419754,0.65524,0.23954,1.04764,3.44143,0.17847,0.33502,267.0,3.101229064452212,0.360781037410702,44.46584981385906,8.921886783128521,0.32098765432098764,0.31724907065529445,0.2729148493767337,0.13117802192798317,0.1166267594518726,0.7961105940071375,0.25295801909320836
